"addon"
{
    "addon_game_name"                               "Петры Реборн" 
    "addon_game_description"                        "Самое настоящее противостояние стильных, модных, молодежных КВНщиков и старых, унылых, пропитавшихся нафталином обитателей Кривого Зеркала во главе с Петросяном."
    "how_to_play"                                   "Как играть"
    "game_info_Petrosyan"                           "Петросяну и его приспешникам необходимо до смерти рассмешить всех КВНщиков."
    "game_info_KVNs"                                "КВНщикам нужно избежать юмористического кастинга в Кривое Зеркало и найти выход со съемочной площадки."
    "game_info_tips_header"                         "Полезные советы:"
    "game_info_tip01"                               "1. КВНщики имеют в своем распоряжении три типа ресурсов: золото, древесина и еда. Древесину возможно добывать практически в любой точке карты; золото добывается золотыми башнями, которые лучше всего строить в очень надежном месте, чтобы их не разрушили; количество доступной еды зависит от количества построенных хат." 
    "game_info_tip02"                               "2. Петросян и его приспешники имеют доступ с магазину с различными инструментами для увеселений. Также рядом находятся необходимые для повышения своей юмористической мощи арены. Они открываются только днем, поэтому днем петросянам рекомендуется проводить на аренах, добывая необходимый опыт и золото. Ночью на базе делать нечего, поэтому все это время они должны искать и пытаться уничтожить КВНщиков."
    "game_info_tip03"                               "3. При игре с большим количеством игроков, КВНщикам желательно не сидеть в куче и отстраивать общую базу, а разбежаться по карте и строить баррикады самостоятельно, чтобы не мешать друг другу, а также усложнить поиски петросянам."

    "Unassigned"                                    "Не определились"
    "Spectator"                                     "Наблюдатели"
    "Neutrals"                                      "Нейтралы"
    "NoTeam"                                        "Без команды"

    "DOTA_GoodGuys"                                 "КВН"
    "DOTA_BadGuys"                                  "Кривое зеркало"

    "area_claimed"                                  "Вы выбрали свою зону"
    "you_cant_build"                                "Вы не можете строиться здесь"

    "petrosyan_is_killed"                           "Петросян убит игроком "
    "kvn_fan_is_dead"                               " рассмешен!"

    "kvn_win"                                       "Выход достроен! Прощай петросян!"
    "petrosyan_win"                                 "Петросян рассмешил всех....."

    "gather_more_lumber"                            "Добудьте больше дерева"
    "need_more_food"                                "Постройте новые или улучшите старые тенты"

    "repair_target_is_full"                         "Цель не нуждается в починке"
    "repair_target_is_not_a_building"               "Цель не является зданием"

    "start_game"                                    "СКОРО НАЧНЕТСЯ КАСТИНГ В КРИВОЕ ЗЕРКАЛО!! БЕГИТЕ ПОКА ПЕТРЫ СПЯТ!!"
    "petrosyan_is_awake"                            "ПЕТРОСЯН ПРОСНУЛСЯ!! АХАХАХАХАХА"

    "no_farm_tonight"                               "НОЧЬ НЕ ВРЕМЯ ДЛЯ ФАРМА!!! ИДИТЕ ДАВАТЬ ПИЗДЫ КВНЩИКАМ!!"

    "petri_start"                                   "ТЕПЕРЬ ЗАКУПИТЕСЬ И ИДИТЕ ФАРМИТЬ ПОКА ДЕНЬ. НОЧЬЮ ЖЕ ПОЙДЕТЕ ПИЗДИТЬ НАГЛЫХ КВНЩИКОВ"

    "you_cant_be_here"                              "ВАМ ТУДА ТОЧНО НЕ НАДО!"

    "exit_construction_is_started"                  "КВНЩИК НАЧАЛ ОТСТРАИВАТЬ ВЫХОД!!!"

    "sputnik_launched"                              "Вы видите маленькую точку в небесах. ААаАаААаААаА ЭТО СПУТНИК ПЕТРОСЯНОВ!!!!"
}
